"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"855","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"856","High School","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"857","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"858","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"859","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"860","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"861","Less Than High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"862","Less Than High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"863","Bachelors Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"864","Associate / Junior College","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"865","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"866","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"867","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Above Average"
"868","Graduate Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"869","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"870","High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"871","Less Than High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"872","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"873","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"874","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"875","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"876","Less Than High School","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"877","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"878","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"879","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"880","Graduate Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"881","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Above Average"
"882","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"883","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"884","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"885","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"886","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"887","Graduate Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"888","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"889","High School","Very Satisfied","Working Class","Not Satisfied at All","Average"
"890","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"891","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"892","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"893","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"894","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"895","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"896","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"897","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Below Average"
"898","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"899","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"900","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"901","Graduate Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"902","Bachelors Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"903","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"904","High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"905","Associate / Junior College","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"906","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"907","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"908","Bachelors Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"909","High School","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"910","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"911","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"912","Less Than High School","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"913","Associate / Junior College","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"914","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"915","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"916","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"917","Associate / Junior College","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"918","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"919","High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"920","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"921","Less Than High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"922","High School","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"923","High School","Very Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"924","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Average"
"925","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"926","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Below Average"
"927","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"928","Graduate Degree","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"929","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"930","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Average"
"931","Bachelors Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"932","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"933","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"934","Bachelors Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"935","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"936","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"937","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"938","Less Than High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"939","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"940","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"941","Associate / Junior College","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"942","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"943","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"944","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Average"
"945","Bachelors Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"946","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"947","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Above Average"
"948","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"949","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"950","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Above Average"
"951","Graduate Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"952","Associate / Junior College","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"953","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"954","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Above Average"
"955","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"956","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"957","High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"958","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"959","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"960","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"961","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"962","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"963","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"964","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"965","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"966","Less Than High School","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
